Cluster ID,Playlist ID,Playlist Title,Tracks
20,pid,name,track_name
45,1,Awesome Playlist,Eye of the Tiger;Libera Me From Hell (Tengen Toppa Gurren Lagann);Pokémon Theme;Concerning Hobbits (The Lord of the Rings);The Blood of Cuchulainn (The Boondock Saints);He's a Pirate (Pirates of the Caribbean);Very Bloody Tears (Castlevania II: Simon's Quest);U.N. Owen Was Her? (Remix);I am the Doctor in Utah;The Room Where It Happens;Right Hand Man;Alexander Hamilton;My Shot;Stairway To Heaven;Shine;Ghost Love Score;Crazy;Sympathy For The Devil;Gimme Shelter;Free Bird;Peace of Mind;Foreplay / Long Time;Hold the Line;Carry on Wayward Son;Bohemian Rhapsody - Remastered 2011;Sweet Home Alabama;More Than a Feeling;Kashmir;The Majestic Tale (Of A Madman In A Box);Sweet Child O' Mine;Fortunate Son;Rock You Like A Hurricane;Tom Sawyer;Red Barchetta;YYZ;Limelight;The Camera Eye;Witch Hunt;Vital Signs
17,3,mat,"Danse macabre;""Piano concerto No. 2 in G Minor;Dræm Girl;Sad Valentine;You Say I'm in Love;Drowsy;Serving Goffman;Sea Song;Fortune Only;Looking out for You;Necromancer;Mistakes;Strangest Eyes;It's Elizabeth;Pussy of my Dreams;19;Neptune Estate;Somebody's Talking;Bent (Roi's Song);Just Get High;I Love Seattle;Dark as Days;End It Now!;When Did Your Heart Go Missing?;Signs;Under A Rock;Two Weeks;Yet Again;Campus;Mess Me Around;Talk To Me;Trip Switch;Heart It Races - Dr Dog Version;Big Decisions;It's All in Vain;Deadwater;C U Girl;HOME;CONTACTS;Can't Come Down;Luv;Life Is What You Make It;Contraband;Miss You;Money Won't Pay;I'll Fall;Nothing's Gonna Hurt You Baby;Affection;I Like You;Strange to Hear;Sweet Emotion;Pink City;First Balloon To Nice;Rubdown;So Much Love So Little Time;Last Of The Good Old Days;Screaming;Love's Lost Guarantee;10:1;Crush The Camera;Every Moment;Endgame;El Scorcho;Veldt;Patroklos;suncream;Crying in Public;It's Your Body 4;Poppies;Just Kiss Her;Infinity;Touch My Body;We're Not Just Friends;Tried And True;Weak;Lucky Girl;Stay (Bedroom Tape);Weird Science;No One Lives Forever;Wild Sex (In The Working Class) - 1988 Boingo Alive Version;Only A Lad;Private Life - Edited Version;i was all over her;Hey Good Lookin';All for Myself;Words I Don't Remember;Lost Youth / Lost You;What You Won't Do for Love;Don't Want To Know If You Are Lonely;Eight Miles High;Turn It Around;She's A Woman [And Now He Is A Man];Crystal;Turning Japanese;Interference;Nothing Lasts;Nostalgic Feel;Spread A Little Sunshine;Drugs;Kalte Wut / Wenn Ich Einmal Reich Bin;Smoking the Day Away;High Plains Anthem;Who Got Da Props;Chief Rocka;Love's Been Good To Me;Listen to the Warm;Fatalist Palmistry;""So Sad;Cult of Personality;Brazil;Bethlehem;Why iii Love The Moon.;I'll Get Along;A Sunday Kind Of Love - Single Version;Chemistry;Soldiers Requiem;Camarilla;Vanilla Blue;Push;Driftless;I'm So Ugly;Wounds;""You Loved Me;Embarrassingly Enough;Janitor;Elegy"
45,6,I Put A Spell On You,I Put A Spell On You;Bury Us Alive;Jackolantern's Weather;S.O.B.;Possum Kingdom;No One Knows;Zombie;Monster Mash;Ghouls Night Out - Live;Hybrid Moments;Yeah Yeah;Got You (Where I Want You);The Less I Know The Better;Chandelier;Elastic Heart;Dancing Shoes
41,7,2017,"Hard To See You Happy;One Thousand Times;Somebody Else;Hallucinations;Call On Me - Ryan Riback Extended Remix;If I Could Change Your Mind;Feels;Jungle;Window Seat;Tennessee;Livewire;Crowded Places;""I Need a Girl Part 2 (feat. Loon;Hyperreal;California;Eyes Closed;Closedloop;Selfish;Wild Eyed;Redbone;13;May I Have This Dance (Remix) [feat. Chance the Rapper];Something Like Chaos;Ordinary Madness - Edit;All In One Night;Nobody - Atom Tree Remix;Sun Comes Up - OFFAIAH Remix;Bloodstream;Bloom - Bonus Track;Chasing Shadows;I Don't See;The Journey;Backbeat - Acoustic;No Reason;Love In Bad Company;Summer Days - Roosevelt Remix;Complication;Selfish;Reap;Just The Same;Motionless;Miss You - HONNE Remix;Think About That;Sun Comes Up - Heyder Remix;Latch;Hero;No Fear;Find Yourself;Show Me (feat. Madison Ryann Ward);Little of Your Love - BloodPop® Remix;Dynamite (feat. Allday);Attention;Altitude"
36,8,BOP,Twice;7;Whole Wide World - Unpeeled;Goodbye Angels;Too Much To Think;She Moves In Her Own Way;Love Is Mystical;First;Waste A Moment;What Kind Of Man;Ship To Wreck;Come Together - Remastered;Reverend;Cabron;Minor Thing;Outlaws;Ordinary World;The Night We Met;Let It Be - Remastered;Feel It Still;Left Hand Free;Kathleen;Tongue Tied;Hey Jude - Remastered 2015;I Want To Hold Your Hand - Remastered 2015;On Melancholy Hill;A-Punk;All My Loving - Remastered;Mr. Blue Sky;Lay Me Down;Dog Days Are Over;Hard To Concentrate;Welcome To Your Life;Soul To Squeeze;Red Red Wine - Edit;Yesterday - Remastered;Soul Meets Body;I Could Die For You;Help! - Remastered;Daydream Believer;Revolution - Remastered;Rainbow;Soundcheck;Young Blood;Make You Feel Better;Take It or Leave It
10,9,old country ,"Highwayman;Highwayman;Drunk Like You;Fix;It's A Great Day To Be Alive;Chattahoochee - Extended Mix;Eatin' Pussy/Kickin' Ass;Ballad Of A Southern Man;Somewhere Down in Texas;Diamond In My Pocket;I'm Bringin' Home Good News;Branded Man - 2001 Digital Remaster;""Jack Daniel's;Goin' Through The Big D;Out of Hand;Kentucky Gambler;Killin' Time;The Fightin' Side Of Me;Neon Moon;Hometown Girl;Drinkin' Problem"
21,10,abby ,"Big Lie;All We Got (feat. Kanye West & Chicago Children's Choir);Planez;Rich As Fuck;The Show Goes On;Tiimmy Turner;Chillin;T-Shirt;Portland;Light;Don't;Who Do You Love?;Jump Out The Face (feat. Future);My Last;Say Something (Featuring Drake);Studio;Deadroses;make daddy proud;G.O.M.D.;Nothing But Trouble - Instagram Models;I Don't Fuck With You;Drowning (feat. Kodak Black);goosebumps;STFU;Exposed;Slippery (feat. Gucci Mane);m.A.A.d city;Yellow;Juke Jam (feat. Justin Bieber & Towkio);Bodak Yellow;Preach;""Shell Shocked (feat. Kill The Noise & Madsonik) - From """"Teenage Mutant Ninja Turtles"""""";Marmalade (feat. Lil Yachty);Go Flex;Do It Myself;Come Get Her;Drop The World;Remember The Name (feat. Styles Of Beyond);Deja Vu;Straightjacket;""White Walls (feat. ScHoolboy Q;Break The Bitch Down (feat. K. Camp);No Type;D U Down;Fuckin Right;GOMD;Hot N*gga;Thinking With My D**k (feat. Juciy J);No Flockin;Say A';Butterfly Effect;Verbatim;Sniffing Vicodin In Paris (Danny Olson Remix) [feat. Danny Olson];Molly (feat. Brendon Urie of Panic at the Disco);First Day Out;""Horses (with PnB Rock;Headlines;Lemme Freak;Blunt Blowin;Pop That;oui;How To Love;Dreams and Nightmares;Real Hitta (feat. Kodak Black);The Girls On Drugs;Up Like Trump;Throw Sum Mo;These Days;Drama;Swish;Let the Games Begin;All That Talk"
41,11,VIBE,"In the morning - Version;I Turn My Camera On;Honestly Ok;Believe In It;Finally Moving;On & On;Nightcall;Twice;The Vortex;In The Waiting Line;Mandarine Girl;Porcelain;I've Been Thinking;Little Bit;Tea Leaf Dancers;Love Dub;Adorn;Sleepless;Down The Road;Litost;You Made It;Voodoo Child (Starring Afu Ra) [Dj Premier Remix];Telemiscommunications;Show Your Love;Scale It Back;Redeemed;Que Sera;Protection;Only You;(Not So) Sad And Lonely;Listen;I've Been Trying;Ghostwriter;Darkest (Dim);Change Is Gonna Come;Ask Your Friends;Runnin';Cover My Eyes;Aqueous Transmission;Massage Situation;Closer;Intro;Hell Is Round The Corner;Crystalised (The Neon Lights Remix);Fiction;Basic Space;Press Snooze;You Know You Like It;Breathe;Motion;Wicked Games;Touch;Houstatlantavegas;Runnin Away For Good;Since I Left You;""Drumming Song - MTV Unplugged;Get Free (feat. Amber Coffman);No Love;The Reeling - Calvin Harris Remix;Inhaler;Foreign Language - Flight Facilities Extended Mix;Canoe Canoa;Don't Let Me Down (feat. Cat Martin);Enter The Machine;My Winter Vacation;Nothing Owed;Organ Donor;Sleepyhead;Trigger Hippie;Undenied;Islands;All I Need;Bag Lady;Bitter Sweet Symphony;Camel;Crystalised (Dark Sky Remix);Don't Let Me Down (feat. Cat Martin);Electric Relaxation;Empire Ants (feat. Little Dragon);Eyes On Fire;Feel It All Around;Get The Money;Ghost Hardware;Hawaii;Jupiter;Let It Be (feat. Veela);Lost In The World;Lucid Truth;Master of None;Miracle;Organ Donor;Ritual Union;She Just Likes to Fight;Smile;The Time We Lost Our Way featuring Loulou;Triptango;Unspoken;White Flag;Wildfire;Window Seat;You Got Me;Young Folks;Punching In A Dream;Dub In Ya Mind;The Dead Sea Scrolls;Don't Look Back - Fug Remix;Moon Fever;Lost Where I Belong - Flying Lotus Remix;Kimmi In a Rice Field - Balam Acab remix;Maximalist;Building Steam With A Grain Of Salt;The Garden;Mastermind;Building Steam With A Grain Of Salt;Far Nearer;Blood Red - Original Mix;Mages Sages II (prod. Flying Lotus);Levitate;Afro Blue - feat. Erykah Badu;Feeling Better;Untrust Us;Evil Beauty;Long Distance;Show You - Dubba Jonny Remix;Do I See Color;Epiphany;Don't Move;The Bad In Each Other;Go Outside;You;Astro Dub;Pursuit Of Happiness (nightmare);Hands On The Wheel;Get Free (feat. Amber Coffman)"
37,13,sleep,Lost Boy;Burning House;Little Wonders - Radio Version;Carry You;Lose It;Willow;Salvation;A Thousand Years;His Daughter;Another Empty Bottle;Can't Help Falling In Love;Say You Won't Let Go - Luca Schreiner Remix;Superficial Love
