Cluster ID,Number of Playlists,Top Words
4,153,"cast (268), mix (260), love (258), original (258), / (147), broadway (146), (glee (117), like (103), one (94), world (87)"
3,548,"love (1626), like (578), girl (538), man (427), night (421), good (419), time (388), one (383), back (369), get (360)"
6,740,"love (2012), like (749), go (537), one (494), good (486), girl (482), time (445), heart (444), know (437), let (405)"
0,592,"love (1231), like (607), lil (512), mix (488), 2 (462), back (455), get (438), one (404), good (383), night (366)"
2,193,"love (415), like (138), one (90), girl (87), way (84), go (81), i'm (78), back (75), good (74), let (74)"
9,14,"ka (9), studio (8), love (7), na (7), season (7), lo (6), / (6), man (6), ki (5), al (5)"
8,42,"christmas (816), santa (152), little (124), merry (118), bells (106), claus (100), night (98), let (83), home (80), jingle (71)"
1,80,"el (520), de (462), la (413), te (284), mi (238), que (235), en (177), amor (160), tu (135), yo (109)"
5,24,"version"" (161), """"the (88), soundtrack (63), little (57), """"tangled""""/soundtrack (49), / (48), life (33), world (32), """"mulan""""/soundtrack"" (28), go (27)"
7,15,"minor (119), no. (87), major (59), c (50), concerto (46), ""symphony (39), g (37), suite (30), piano (26), ""piano (25)"
