Cluster ID,Top Words,Number of Playlists
52,"name (1), track_name (1)",1
28,"theme (25), halloween (12), monster (10), addams (10), main (8), super (8), hell (7), devil (7), like (7), ghostbusters (7)",9
27,"love (422), like (141), get (114), i'm (112), girl (110), good (108), go (107), one (104), time (101), life (98)",122
74,"put (4), spell (4), one (4), knows (3), u (3), woman (3), alive (2), monster (2), mash (2), yeah (2)",7
79,"love (276), like (87), one (68), know (68), good (63), go (61), let (60), heart (54), way (53), time (46)",71
33,"love (187), life (55), heart (52), god (51), one (50), like (45), go (44), alive (44), come (41), never (40)",44
26,"country (31), love (23), man (19), road (19), american (19), old (15), home (15), night (15), girl (13), blues (13)",23
31,"lil (68), love (66), back (58), 2 (56), like (55), get (50), album (42), right (41), u (33), money (33)",50
38,"love (294), go (103), like (82), time (75), good (74), let (74), one (73), home (72), heart (72), life (67)",86
67,"love (33), know (17), like (14), i'm (13), go (12), say (11), heart (10), let (9), broken (9), u (9)",32
89,"love (220), go (80), life (71), like (68), let (67), one (62), heart (55), home (55), time (54), away (50)",90
0,"love (26), ver. (17), one (14), good (13), day (12), like (12), go (12), u (10), kr (9), bad (9)",26
51,"love (42), like (17), girl (13), good (12), time (12), know (12), way (11), one (9), fire (8), lost (8)",42
37,"love (125), like (47), way (28), i'm (25), girl (25), back (24), want (21), time (21), one (19), thing (18)",36
20,"love (106), like (43), girl (33), time (33), one (33), go (33), city (31), 2015 (31), home (29), world (28)",71
88,"twenty (1), one (1), pilots (1), ride (1), heathens (1), car (1), lane (1), boy (1), judge (1), ""sucker (1)",1
66,"holy (6), man (5), day (5), heaven (5), master (5), love (5), jesus (5), good (5), like (4), mein (4)",13
21,"love (39), like (19), girl (16), back (15), want (14), let (14), party (14), way (13), know (12), i'm (12)",34
42,"love (321), like (144), back (120), lil (118), one (109), way (99), 2 (95), good (95), get (91), know (88)",100
97,"mix (175), love (139), original (113), remix) (54), like (46), let (39), go (38), night (35), life (31), feel (28)",45
2,"love (161), lil (88), like (79), night (64), 2 (62), back (57), good (53), get (52), one (52), go (51)",73
45,"dub (14), u (4), i'm (4), cha (3), come (3), get (3), hop (3), shuffle (3), original (3), rock (2)",7
56,"love (105), 2 (76), lil (68), like (67), get (64), one (53), money (51), back (46), mix (42), album (42)",57
29,"love (50), like (22), back (20), get (19), go (17), way (15), want (14), ain't (14), bad (14), got (14)",43
55,"love (79), like (21), girl (19), one (19), go (19), let (17), life (15), beautiful (15), time (14), good (14)",33
90,"love (14), mix (13), 2014 (11), album (10), 2 (9), mo (9), good (8), world (8), like (8), club (8)",18
63,"country (135), love (105), like (93), night (87), girl (79), good (75), man (68), little (55), beer (54), ain't (47)",42
57,"om (5), yoga (2), virabhadrasana (2), salabasana (2), hum (2), smooth (1), jazz (1), esperanto (1), green (1), onions (1)",3
43,"love (103), cast (67), (glee (61), like (48), album (37), 2 (35), can't (31), lil (31), back (30), get (29)",45
53,"love (91), black (42), man (42), little (41), girl (36), time (36), like (32), fire (32), home (29), one (28)",57
12,"love (187), mix (59), like (46), one (46), know (45), let (42), summer (38), way (36), good (36), life (36)",75
40,"love (130), 2015 (64), remaster (58), man (55), sweet (54), rock (49), 2011 (43), long (42), girl (38), 2010 (36)",45
3,"love (332), like (120), girl (98), one (95), want (71), i'm (63), time (63), get (63), life (57), know (56)",70
77,"like (10), love (9), back (6), good (5), lil (4), light (4), work (4), nobody (4), say (4), still (4)",17
71,"love (239), like (98), good (63), one (56), let (50), time (50), say (50), go (49), i'm (48), never (44)",70
87,"love (2), mine (2), 我不配 (2), chill (1), took (1), pill (1), ibiza (1), seeb (1), pillowtalk (1), lovers (1)",1
61,"love (356), want (56), girl (56), can't (55), like (53), get (51), heart (51), come (51), go (50), take (48)",57
15,"love (208), get (102), mix (98), like (80), good (57), i'm (57), album (56), baby (47), dance (47), can't (45)",56
94,"love (129), like (28), girl (28), go (27), back (26), heart (26), can't (25), way (25), i'm (24), man (23)",33
48,"lil (98), 2 (71), love (65), back (51), night (43), money (43), like (43), get (42), life (41), yachty) (37)",71
13,"christmas (583), santa (110), little (91), merry (86), claus (73), bells (63), night (60), let (59), home (57), town (51)",26
81,"christmas (79), nutcracker (31), ""the (30), santa (19), let (15), snow! (15), bells (14), claus (14), like (9), rudolph (9)",4
32,"love (37), one (22), great (16), god (16), come (16), (live) (15), grace (14), name (11), beautiful (10), spirit (10)",15
98,"ao (10), de (10), vivo (8), (ao (7), vivo) (7), samba (6), que (5), e (4), não (4), te (3)",2
58,"(instrumental (9), winter (8), love (5), day (4), ""string (4), quartet (4), no. (4), 6 (4), f (4), minor (4)",9
85,"two (3), feel (3), feels (2), still (2), sorry (2), october (1), 2017 (1), would (1), die (1), thinkin' (1)",6
84,"love (119), like (112), girl (91), good (75), night (75), got (60), back (55), little (55), country (50), know (49)",42
10,"love (120), like (115), night (95), girl (92), country (88), good (74), time (57), road (52), back (52), little (49)",44
83,"like (21), love (20), get (18), black (16), good (15), party (14), know (14), u (14), back (14), gangsta (13)",28
14,"la (4), ooh (2), de (2), fox (2), wes (1), anderson (1), done (1), ""a (1), quick (1), one (1)",1
91,"love (15), one (5), know (5), stay (5), like (5), thing (4), show (4), let (4), go (4), (with (4)",13
19,"de (221), el (188), te (158), la (142), que (134), mi (112), amor (95), en (89), ti (66), por (57)",24
9,"mind? (4), lithium (4), young (3), way (2), monty) (2), back (2), vs. (2), cookin' (2), 3 (2), let (2)",7
47,"love (61), one (28), go (28), like (27), back (26), girl (26), good (25), way (24), heart (23), night (23)",42
11,"love (84), (live) (50), one (22), heart (21), i'm (20), come (20), god (19), like (18), good (18), go (17)",22
80,"shower (1), closer (1), talk (1), anymore (1), selena (1), gomez) (1), way (1), make (1), feel (1), 2012 (1)",1
1,"el (88), la (80), te (51), de (49), mi (46), tu (41), que (41), yo (23), un (22), amor (20)",17
50,"love (20), home (8), like (7), black (7), eyes (6), man (6), life (6), little (5), time (5), feeling (5)",18
78,"love (107), rock (73), girl (69), man (63), sweet (58), long (54), black (54), 2015 (48), back (42), like (42)",47
44,"cast (103), broadway (95), original (86), """"wicked"""" (50), recording/2003"" (48), love (40), little (36), recording (32), """"the (32), one (27)",14
41,"mix (197), original (123), remaster (46), love (44), mixed (44), remix) (29), city (29), mexico (28), 12/10/05 (28), go (25)",17
6,"love (78), like (22), go (22), good (17), back (16), girl (14), mix (14), way (13), know (13), (with (13)",25
70,"el (184), la (142), de (139), mi (59), en (57), te (53), que (43), amor (36), del (36), un (28)",18
92,"lil (10), like (8), love (8), way (7), 2 (6), yachty) (6), back (6), (with (5), call (5), life (5)",18
75,"broadway (45), cast (45), recording (45), theme (21), (reprise) (20), version"" (18), soundtrack (17), little (14), score (13), world (13)",9
49,"love (29), el (20), la (17), de (13), en (13), original (11), day (10), que (10), dance (10), acoustic (9)",18
46,"mix (12), remix) (8), original (7), like (4), love (3), animals (3), extended (3), vs. (3), feels (3), club (3)",4
7,"version"" (151), """"the (82), soundtrack (58), little (53), """"tangled""""/soundtrack (48), life (29), world (28), """"mulan""""/soundtrack"" (27), ""i (25), mermaid""""/ (24)",18
93,"christmas (159), night (36), bells (30), come (30), little (27), merry (26), santa (23), home (19), silent (19), remaster (19)",10
36,"la (36), el (35), de (25), tu (21), mi (20), te (18), que (14), si (12), tú (12), en (12)",18
60,"x (3), chill (1), music (1), idfc (1), ocean (1), ""the (1), buzz (1), big (1), k.r.i.t. (1), please (1)",2
22,"(in (26), style (26), version] (26), [instrumental (17), [karaoke (5), one (3), taylor (2), swift) (2), young (2), nicki (2)",1
54,"la (7), le (5), de (4), les (3), et (3), te (2), des (2), je (2), du (2), deux (2)",3
5,"minor (19), concerto (10), no. (9), g (8), major (7), b (6), ""waltz (6), ""brandenburg (5), ""violin (5), no.2 (5)",3
8,"got (4), love (3), sad (2), know (2), summer (2), something (2), gold (2), home (2), kiss (2), never (2)",7
30,"el (30), de (19), la (14), (en (7), vivo) (7), del (5), samba (4), e (3), vivo (3), da (3)",3
59,"party (22), people (5), night (4), kanye (4), west (4), old (4), intro (3), vs. (3), girl (3), love (3)",5
69,"minor (21), no. (18), major (16), piano (10), c (10), suite (9), g (8), dance (8), prelude (8), ""symphony (7)",2
25,"ka (9), lo (6), ki (5), al (5), ba (5), lei (5), na (5), ani (4), gel (4), var (4)",5
24,"vivaldi (18), hall (18), ""recomposed (17), max (17), richter: (17), royal (17), albert (16), 1984 (16), minor (15), sinatra (10)",13
34,"version"" (27), """"the (16), love (12), little (12), world (10), soundtrack (9), arrowhead (8), pond (8), one (8), got (7)",7
68,"minor (39), ""symphony (25), no. (19), concerto (14), major (12), g (9), ""mozart: (9), c (8), f (8), e (8)",2
76,"dinner (1), party (1), let's (1), c'est (1), si (1), bon (1), pour (1), moi (1), ça (1), va (1)",1
72,"fav (1), case (1), know (1), somebody (1), else (1), told (1), ""god (1), hurricane (1)",1
62,"love (8), boy (3), blood (3), bad (3), girl (3), random (2), big (2), dancing (2), come (2), i'm (2)",7
4,"bellas (6), beat (6), around (6), way (6), finals: (6), cups (4), love (4), (by (4), stop (3), music (3)",2
82,"imperial (3), """"star (3), wars: (3), star (2), title (2), main (2), suite (2), theme (2), march (2), wars (1)",1
95,"(original (2), motion (2), picture (2), work (2), shades (2), songs (1), dance (1), ""can't (1), stop (1), feeling! (1)",2
96,"major (4), ""mozart (3), – (3), quartet (3), g (3), sonata (2), mozart (2), sleep (1), music (1), madness (1)",1
86,"studio (8), season (7), de (5), (coke (5), 9) (5), tera (4), rang (4), meri (4), jatt (3), ni (3)",3
16,"minor (32), c (23), no. (20), de (17), concerto (17), suite (14), ""piano (13), no.2 (12), major (11), ""schubert (10)",4
73,"jp (1), ""cheetah (1), sisters (1), """"the (1), cheetah (1), girls"""""" (1), run (1), partynextdoor (1), nicki (1), minaj) (1)",1
18,"那些年 (4), chinese (2), exist (2), 童話 (2), 依然愛你 (2), 心跳 (2), 小酒窩 (2), 人海中遇見你 (2), 聽媽媽的話 (1), 我以為 (1)",2
64,"really (2), cameron (1), hey (1), you... (1), want (1), boyfriend (1), original (1), mix (1), make (1), me... (1)",1
39,"cast (65), (glee (64), season (5), 5 (5), love (4), heart (3), keep (3), bye (3), stop (3), believin' (3)",1
17,"hai (10), mein (7), """"dilwale (6), dulhania (6), le (6), jayenge"""""" (6), pyar (5), kabhi (5), naa (4), ki (4)",2
65,"theme (7), paganini: (6), rhapsody (5), variations (4), variation (3), magnum (2), mom (1), ""symphony (1), no. (1), 9 (1)",1
23,"no. (20), young (15), ""album (14), major (13), ""12 (12), etudes: (12), etude (12), sonata (9), minor (7), ""concerto (6)",3
99,"sweet (1), i'm (1), one (1), who's (1), loving (1), ""hold (1), stay (1), ready (1), (what (1), life) (1)",1
35,"battle (2), hymn (2), patriotic (1), republic (1), call (1), muster (1), cry (1), freedom (1), american (1), armed (1)",1
