Cluster ID,Playlist ID,Playlist Title,Tracks
52,pid,name,track_name
28,1,awesome playlist,"eye tiger, libera hell (tengen toppa gurren lagann), pokémon theme, concerning hobbits (the lord rings), blood cuchulainn (the boondock saints), he's pirate (pirates caribbean), bloody tears (castlevania ii: simon's quest), u.n. owen her? (remix), doctor utah, room happens, right hand man, alexander hamilton, shot, stairway heaven, shine, ghost love score, crazy, sympathy devil, gimme shelter, free bird, peace mind, foreplay long time, hold line, carry wayward son, bohemian rhapsody 2011, sweet home alabama, feeling, kashmir, majestic tale (of madman box), sweet child o' mine, fortunate son, rock like hurricane, tom sawyer, red barchetta, yyz, limelight, camera eye, witch hunt, vital signs"
28,932,halloweenie,"monster mash, thriller, werewolves london 2007, somebody's watching, ""the phantom opera (from """"the phantom opera"""")"", ghostbusters, wild thing, hungry like wolf 2009, nightmare christmas halloween (danny elfman), highway hell, creep, disturbia, monster, demons, ""the addams family: main theme (from television series """"the addams family"""")"", american horror story main theme, ""i put spell (fifty shades grey) """"fifty shades grey"""" soundtrack"", halloween, heathens, super freak, theme beetlejuice, harry potter prologue, hotel california, somebody's watching, crazy train, ghost, ballad mona lisa, runnin' devil 2015, dammit janet, super hereos, frankenstein place, science fiction/double feature, time warp (remix 1989 extended, rose tint world, haunted"
28,1151,memes,"deepthroat, gays 4 donald, hand gat, star, blue (da ba dee) video, chelsea dagger, chop suey!, clint eastwood, believe magic, electric feel, feel good inc, serious, come dat boi!!!, american weed dad, name john cena!, chronic hedgehog, disney illuminati, doge, final fantasy vii illuminati, gaben confirmed gaben), harry potter mlg hallows, space odyssey gone far?, isis hymn, illuminati confirmed last, jingle mlg bells, john cena trap, john cena theme (mlg airhorn, it!, legend zelda theme (mlg airhorn, let go (mlg airhorn, mega man ii theme (mlg airhorn, mlg duck, mlg man, mom's spaghetti, little brony gaben), pingu theme noscoped, rappin' jesus, ""shrek love, shreking mlg hood, spooderman lame, star wars illuminati, super mario mlg bros., super mario weed world, super rekt bros., sword art rekt online weed dog), thomas weed engine, ussr can't hold illuminati, swamp?, fuck sonic?!, damn daniel, toby tram, hot nickel ball pussy, gun, nickelodeon girls, stfu, hood, please stop calling gay, nice, please stop touching willy, uber pussy, セックス大好き, dumplings, meme machine, c c w e 1, flex like david icke, high school blink193, rice balls, dora explora, smd, dog festival directions, fall, club banger 3000, help, hentai, small dick, pink life, another earth, get vasectomy, furr, fried noodles, goofy's trial, inspired, inspired, fresh prince bel-air theme nbc's fresh prince bel-air, sandstorm, badger badger badger, spongebob squarepants theme, fruit salad, veggietales theme, watch (whip nae nae), barbie girl, photograph, cotton eye joe, like move, dick box, raining men, drop like hot, f.u.n., like boss, never gonna give, uptown funk, got high, wake go-go, ""you've got friend """"toy story""""/ soundtrack"", hotline bling, fergalicious, bad blood, ""the best worlds """"hannah montana""""/soundtrack version"", hit miss, sweatshirt, ppap (pen pineapple apple pen) long, mr. sandman 1954 #1 billboard chart hit, thrift shop, danger zone, whatcha say, sexy thing"
28,1290,good stuff,"snowcone, voyager, stylo mos def bobby womack), popsky, doncamatic daley) joker, doncamatic daley) joker, seven nation army, last living souls"
28,1296,halloween,"ghostbusters, ""the addams family: main theme (from television series """"the addams family"""")"", phantom opera, house haunted, thriller, monster, mr. nice guy, ""spooky, addams family theme, superstition, monster mash, halloween, blinded science, addams, theme beetlejuice, ""prologue """"little shop horrors"""" 1982 original cast"", disturbia, put spell, somebody's watching, dead girl walking barrett wilbert weed ryan mccartan), tip toe thru' tulips, x files, spooky scary skeletons, stranger things, la quatrième dimension, carousel freak show vocal, dominique, american horror story, ding-dong! witch dead, blood bannockburn, smooth criminal 2012 remaster, witch doctor, psycho killer 2005, jack's lament, (don't fear) reaper, ghostbusters, somebody's watching, highway hell, freaks come night, time warp (glee cast, maneater, nightmare street, spin round (like record), men black, scream, cannibal, haunted, dracula's wedding, want candy, black magic woman, bark moon, la quatrième dimension, i'm love monster, dead man's party, evil woman, season witch, sweet dreams (are made this), ghostbusters, hells bells, weird science, thriller (steve aoki midnight hour remix), monster, toxic, scary monsters (and super creeps) 1999, frankenstein, werewolves london 2007, put spell, wolf, feed frankenstein, teeth, halloween theme main title, devil go, munsters, ghosts, monster, uma thurman, crazy train, beat, psycho suite strings: murder, ""toccata fugue minor, abracadabra, attack ghost riders, heads roll, addams family, sympathy devil, bat hell, voodoo child (slight return), nature trail hell, devil went georgia, spiderwebs, friday 13th, purple people eater, rattlin' bones, threatened, get ghost, put spell, zombie, ghostbusters instrumental, walking ghost, torture, ghost town, songe d'un nuit de sabbat, ""peer gynt suite no. 1, m.i.b. main theme, walked zombie, place hotel (a.k.a. heartbreak hotel), come back, hellhound trail, jump line, oogie boogie's"
28,2019,youtube,"ever, ever 2, boy band parody, progressive christmas carols, legend zelda rap, pokemon theme revenge, milky milkshake, firetruck!, fanny pack, cute furry kittens, meat mouth, rule high school, moms bomb, ultimate breakup medley tara jayne sissom), parents suck, christmas creepy, christmas cash, ""im questing (a legend zelda rap) dodger, megaman gets played dodger), epic vacation ever (cannon penis), sad, vacation, superluv"
28,2129,irish,"barrett's privateers, bear butcher boy, sick note, peter street, orange green, eliza lee, red rose, mountain dew, irish brigade"
28,2588,halloween,"night come, bark moon, (don't fear) reaper, shout devil, ""they're coming take away, halloween, psycho suite strings: murder, exorcist, thunderstorm overhead, ""toccata fugue minor, boris spider mono, purple people eater, addams family, highway hell (glee cast jonathan groff), intro theme twilight zone, bat hell, beetlejuice animated series: main title, superstition, psycho killer 2005, ""peer gynt suite no. 1, carmina burana: fortuna imperatrix mundi: fortuna, wrecking ball (instrumental karaoke) [originally performed miley cyrus], halloween, theme doom, theme candyman, coming get you! scary halloween sound effects, put spell, waltz willows, hedwig's theme (theme tune harry potter), somebodys watching, munsters theme, ""theme """"buffy vampire slayer"""""", simpsons halloween special theme, moonlight sonata, disturbia, roar, dance tonight, fox (what fox say?), wobble, can’t touch, jump line (shake senora), love potion no. 9, sweet dreams (are made this), ""hungry like wolf men arena, ""helter skelter """"across universe"""" soundtrack"", hotel california, bad moon rising, witchcraft, end world know (and feel fine), walking broken glass, smooth criminal 2012 remaster, scream shout, get lucky, bleeding, danza kuduro, wake, counting stars, pompeii, sail, demons, little party never killed nobody (all got), little talks, titanium sia) sia, pet semetary, trebles finals: bright lights bigger city/magic, killing softly, black hole sun, men black, enter sandman, creep, happy rains, bitter sweet symphony, semi-charmed life, make dreams come true, call maybe, cemeteries london, (i just) died arms, dracula's lament, music night, point return, friday i'm love, drink hand, red solo cup, horn plenty, afternoon delight, online, holy grail, time warp, ghostbusters, monster mash, witch doctor"
28,2681,halloween,"witchcraft, put spell, monster mash, thriller, ghostbusters, love potion number nine stereo, ""the addams family: main theme (from television series """"the addams family"""")"", superstition, super freak, time warp, mr. sandman, oogie boogie's, ハロウィーン・タウンへようこそ, kidnap sandy claws, disturbia, e.t., scary monsters (and super creeps) 1999, halloween theme main title, nightmare street, monster, weird science, dracula's wedding, sympathy devil, purple people eater, season witch, people strange, dracula, abracadabra, helena (so long goodnight), welcome black parade, ""ghostbusters (i'm afraid) (from """"ghostbusters"""" original motion picture soundtrack)"""
27,3,mat,"danse macabre, ""piano concerto no. 2 g minor, dræm girl, sad valentine, say i'm love, drowsy, serving goffman, sea, fortune, looking, necromancer, mistakes, strangest eyes, elizabeth, pussy dreams, 19, neptune estate, somebody's talking, bent (roi's song), get high, love seattle, dark days, end now!, heart go missing?, signs, rock, two weeks, yet, campus, mess around, talk, trip switch, heart races dr dog, big decisions, vain, deadwater, c u girl, home, contacts, can't come, luv, life make, contraband, miss, money pay, i'll fall, nothing's gonna hurt baby, affection, like, strange hear, sweet emotion, pink city, first balloon nice, rubdown, much love little time, last good old days, screaming, love's lost guarantee, 10:1, crush camera, every moment, endgame, el scorcho, veldt, patroklos, suncream, crying public, body 4, poppies, kiss, infinity, touch body, we're friends, tried true, weak, lucky girl, stay (bedroom tape), weird science, one lives forever, wild sex (in working class) 1988 boingo alive, lad, private life edited, , hey good lookin', , words remember, lost youth lost, love, want know lonely, eight miles high, turn around, woman [and man], crystal, turning japanese, interference, nothing lasts, nostalgic feel, spread little sunshine, drugs, kalte wut wenn ich einmal reich bin, smoking day away, high plains anthem, got da props, chief rocka, love's good, listen warm, fatalist palmistry, ""so sad, cult personality, brazil, bethlehem, iii love moon., i'll get along, sunday kind love, chemistry, soldiers requiem, camarilla, vanilla blue, push, driftless, i'm ugly, wounds, ""you loved, embarrassingly enough, janitor, elegy"
